Priority,Handle,Display Name,Current Category,Suggested Category,Confidence,Followers,Posts,Is Business,Is Hawaii,Review Reason,Bio (first 100 chars)
P2_pet_industry_veterinary,caninecardiohawaii,Mobile Dog Gym,pet_industry,pet_industry,0.85,3070,120,0,1,Pet industry/veterinary subcategory - may be content creator,"📍Oahu
Climate controlled❄️🥶
ONLY mobile dog gym in Hawaii! 🚐🐕
Owned and operated by a veterinary pro"
P2_pet_industry_veterinary,long_live_our_animals,Waiting for beach home for ocean sports athlete Onlyfans,pet_industry,pet_industry,0.85,22600,2783,0,0,Pet industry/veterinary subcategory - may be content creator,"things veterinarians don't tell us. TERAGANIX 10%off :(LOVE)Wildlife at my door. 1st was Dogs, savin"
P2_pet_industry_veterinary,islandveterinarycare,Island Veterinary Care,pet_industry,pet_industry,0.85,289,101,0,1,Pet industry/veterinary subcategory - may be content creator,"Veterinarian
""Caring hearts, healing hands.""
We take the extra time with you and your pet. Elevating"
P2_pet_industry_veterinary,weenqween,Dr. Baye Williamson,pet_industry,pet_industry,0.85,1301,139,0,1,Pet industry/veterinary subcategory - may be content creator,"Veterinarian
UTCVM 2012
Veterinary Neurosurgeon @verc.hawaii @ethosvethealth @vetspecialists @utcvm "
P2_pet_industry_veterinary,haikuvet,Haiku Veterinary Clinic,pet_industry,pet_industry,0.85,1003,455,0,1,Pet industry/veterinary subcategory - may be content creator,"Community
𝑷𝒓𝒐𝒗𝒊𝒅𝒊𝒏𝒈 𝒍𝒊𝒇𝒆 𝒍𝒐𝒏𝒈 𝒄𝒂𝒓𝒆 𝒇𝒐𝒓 𝒚𝒐𝒖𝒓 𝒑𝒆𝒕🐾
📍𝐿𝑜𝑐𝑎𝑡𝑒𝑑 𝑜𝑛 𝑡ℎ𝑒 𝑏𝑒𝑎𝑢𝑡𝑖𝑓𝑢𝑙 𝑊𝑖𝑛𝑑𝑤𝑎𝑟𝑑 𝑠𝑖𝑑𝑒 𝑜𝑓 𝑂𝑎ℎ𝑢, 𝐻𝐼"
P2_pet_industry_veterinary,waipiopetclinic,Waipio Pet Clinic,pet_industry,pet_industry,0.85,232,80,0,1,Pet industry/veterinary subcategory - may be content creator,"Veterinarian
Dedicated animal lovers 🦮🐈
⏰M-F 8:00-600 SAT 8:00-12:00
📞 808 676-2205
🏥94-1040 waipio "
P2_pet_industry_veterinary,cshawaiianimalfoundation,CSHawaiiAnimalFoundation,pet_industry,pet_industry,0.85,411,116,0,0,Pet industry/veterinary subcategory - may be content creator,"CSHAF is a volunteer non profit 501 (c)(3) that aims to offer veterinary, spay/neuter, education and"
P3_influencer_boundary,im.alexis.renae,CEO • Model Coach/Coordinator • International Model,influencer,influencer,0.70,10300,1560,0,0,Account near influencer threshold (10k followers),"Fashion Model
10yrs Experienced
📧 ImAlexisRenae@gmail.com for inquiries
2x published-@harpersbazaaru"
P3_influencer_boundary,olivianewtondawg,Olivia,personal_engaged,personal_engaged,0.60,9712,2026,0,0,Account near influencer threshold (10k followers),"🐶Sassy brindle rescue pup
🐾99% cute, but ohh, that 1%
🐶Here to make you smile 😊
🐾DNA...I'''m 💯that.."
P3_engagement_boundary,barkparkhonolulu,Clark Hatch Bark Park at Diamond Head,personal_passive,personal_passive,0.50,659,49,0,1,Account near engagement threshold (50 posts),"Dog Park
Volunteer-operated dog park with Lē'ahi views. We do not receive public funds and rely on d"
P3_engagement_boundary,mynameisluna_hi,Luna ✨,personal_passive,personal_passive,0.50,627,48,0,1,Account near engagement threshold (50 posts),"Hi, My name is Luna!
I'm a Mini Aussie Bernadoodle born & raised in Hawaii 🏝️with my 2 kitty sibling"
P3_engagement_boundary,amatayaco,tay,personal_engaged,personal_engaged,0.60,905,51,0,1,Account near engagement threshold (50 posts),"Artist
stickers & sustainable glassware
made in hawaii
student entrepreneur | founder of @keikimaker"
P3_engagement_boundary,jkauwale,Justin Kauwale,personal_engaged,personal_engaged,0.60,1450,52,0,0,Account near engagement threshold (50 posts),"www.engproguides.com
Follow"
P3_engagement_boundary,bbandvader,bbandvader,personal_engaged,personal_engaged,0.60,370,52,0,1,Account near engagement threshold (50 posts),"BB: 05.07.2020
Vader: 08.16.2022
Honolulu, HI
Follow"
P3_engagement_boundary,mrfinnspeer,Finn,personal_passive,personal_passive,0.50,751,50,0,1,Account near engagement threshold (50 posts),"🐾 Yellow Lab
📍 Kailua, Hawai'i
🏠 02/08/2022
Follow
Message"
P3_engagement_boundary,kai.younger,Kai Younger,personal_passive,personal_passive,N/A,136,49,0,0,Account near engagement threshold (50 posts),Home sweet Home
P5_random_sample,thepublicpet,THE PUBLIC PET,pet_industry,pet_industry,0.85,15500,4551,0,1,Random sample for accuracy baseline,"Pet Supplies
URBAN PET SUPPLY for CATS & DOGS
Open TUE-SUN 9-6p / Closed MONDAYS
3422 Waialae Ave, H"
P5_random_sample,dachilipeppapupshawaii,Da Chili Peppa Pups Hawai'i 🌶️,media_event,media_event,0.75,583,94,0,1,Random sample for accuracy baseline,"A supportive community of owners with pups of various ""spice"" levels that train and work together to"
P5_random_sample,ricksellssd,Rick Ramirez,bank_financial,bank_financial,0.90,2902,194,0,0,Random sample for accuracy baseline,"San Diego Realtor | Metro San Diego Specialist | Financial Services
CA DRE#02108754
Compass
linktr.e"
P5_random_sample,chippertonphotography,chippertonphotography,media_event,media_event,0.75,4110,366,0,0,Random sample for accuracy baseline,"Award winning photographer specializing in dogs, cats, horses or any animal you care to have photogr"
P5_random_sample,lialves69,li Alves,personal_passive,personal_passive,0.50,8,1,0,0,Random sample for accuracy baseline,Follow
P5_random_sample,maddsgudmann,Madison Gudmann,personal_engaged,personal_engaged,0.60,1661,120,0,0,Random sample for accuracy baseline,"🧚‍♀️🦋🫧🧉🧜🏼‍♀️
Follow
2024
2025
Copenhagen
Hungary
Austria
Germany"
P5_random_sample,brotherdogs_kk,"Kenai, Koda, Nalu, Mikey, & Carina",pet_industry,pet_industry,0.85,2751,1014,0,0,Random sample for accuracy baseline,"📍Oahu
Kenai- White Shepherd
Koda- Yellow Lab
Nalu- White Swiss Shepherd
... 
more
www.nonstopdogwear"
P5_random_sample,revitalizepuna,Revitalize Puna,personal_engaged,organization,0.60,1241,152,,1,Random sample for accuracy baseline,A collaborative placemaking initiative by the County of Hawai'i and community members to support Pun
P5_random_sample,sirarrowofpersistence.sdit,Arrow the Mal,personal_engaged,personal_engaged,0.60,1883,153,0,0,Random sample for accuracy baseline,"🏹 Belgian Malinois
🏹 born 12/01/24
🏹 MOBILITY SD/TASK IN TRAINING
🏹 TRAINED BY PERSISTENTPAWSDOGTRAI"
P5_random_sample,mailik09,Maili Keef,personal_engaged,personal_engaged,0.60,205,196,0,0,Random sample for accuracy baseline,"Single mom. EMT. Weird. Ambulance driver.
Follow"
P5_random_sample,k9kokua,K9 Kokua,pet_industry,pet_industry,0.85,4843,5132,0,1,Random sample for accuracy baseline,"Nonprofit organization
💜Providing direct outreach to dogs of the houseless on Oahu and Maui & those "
P5_random_sample,sm_.thakor._,S M THAKOR,personal_passive,personal_passive,0.50,33,1,0,0,Random sample for accuracy baseline,"Reel creator
Follow
Message"
P5_random_sample,the_oahu_spca,Oahu SPCA - OFFICIAL ACCOUNT,media_event,media_event,0.75,14300,2408,0,1,Random sample for accuracy baseline,"Every life is precious 🐾💙
808-754-1519
Hours: Mon- Sat: 8am-5pm, Sun: by appointment only
Https://oa"
P5_random_sample,seelymarilyn,Marilyn Seely,personal_passive,personal_passive,0.50,59,0,0,0,Random sample for accuracy baseline,Follow
P5_random_sample,hawaiianeye797,Craig Fujii,personal_engaged,personal_engaged,0.60,2662,3925,0,1,Random sample for accuracy baseline,"Hawaii is home, and it's a joy and privilege to photograph her sealife - a quarter of which are uniq"
P5_random_sample,the_merchant_family,Ash,media_event,media_event,0.75,929,574,0,1,Random sample for accuracy baseline,"Photographer
God is my first love
I am growing up in public..
Motherhood isn't easy but it's worth i"
P5_random_sample,friendsofhawaii,FriendsOfHawaii,personal_passive,personal_passive,0.50,386,31,0,1,Random sample for accuracy baseline,Friends of Hawaii Charities established in '98 by community leaders to help non-profit programs that
P5_random_sample,barbyinparadise,Barbara,personal_engaged,personal_engaged,0.60,789,527,,0,Random sample for accuracy baseline,"A woman after Gods own HEART ! Desires deep connection . Seeks to eat delicious quality food ;) ""Let"
P5_random_sample,hawaiidoggiebakery,Hawaii Doggie Bakery,pet_industry,pet_industry,0.85,9755,3075,1,1,Random sample for accuracy baseline,"Pet Service
🐾 Hawaii's 1st dog bakery founded in 1998
Closed Tuesdays, open all other days
10am-3pm
"
P5_random_sample,apetperspective,A Pet Perspective | Dog Behavior Specialist,pet_industry,pet_industry,0.85,4670,468,0,0,Random sample for accuracy baseline,"Dog Trainer
Dog Training 🐾 Specializing in problem behavior rehabilitation
🚫No E-Collars here!
Check"
